XCoord,YCoord,FID,LEFT_FID,RIGHT_FID,LENGTH,ELEVATION
716974.31132339,3305166.74482742,190,-1,1,0.989677,3.100000
716974.58213146,3305166.61409176,191,-1,1,0.987759,3.000000
716974.84359751,3305166.46467903,192,-1,1,0.987759,3.000000
716975.10506356,3305166.31526629,193,-1,1,0.987759,3.000000
716975.36652961,3305166.16585356,194,-1,1,0.987759,2.900000
716975.62799566,3305166.01644083,195,-1,1,0.987759,2.900000
716975.88946171,3305165.86702809,196,-1,1,0.987759,2.900000
716976.15092776,3305165.71761536,197,-1,1,0.987759,2.900000
716976.41239382,3305165.56820262,198,-1,1,0.987759,3.000000
716976.67385987,3305165.41878988,199,-1,1,0.987759,3.000000
716976.93532592,3305165.26937715,200,-1,1,0.987759,3.100000
716977.19679198,3305165.11996441,201,-1,1,0.987759,3.100000
716977.45825803,3305164.97055167,202,-1,1,0.987759,3.200000
716977.71972408,3305164.82113893,203,-1,1,0.987759,3.200000
716977.98119014,3305164.67172619,204,-1,1,0.987759,3.200000
716978.24265619,3305164.52231346,205,-1,1,0.987759,3.200000
716978.50412224,3305164.37290072,206,-1,1,0.987759,3.200000
716978.76558830,3305164.22348798,207,-1,1,0.987759,3.100000
716979.01329578,3305164.05408970,208,-1,1,0.987267,3.100000
716979.24724470,3305163.86470588,209,-1,1,0.987267,3.100000
716979.48119361,3305163.67532206,210,-1,1,0.987267,3.100000
716979.71514253,3305163.48593825,211,-1,1,0.987267,3.100000
716979.94909144,3305163.29655443,212,-1,1,0.987267,3.100000
716980.18304036,3305163.10717062,213,-1,1,0.987267,3.100000
716980.41698928,3305162.91778680,214,-1,1,0.987267,3.100000
716980.65093819,3305162.72840298,215,-1,1,0.987267,3.100000
716980.88488711,3305162.53901916,216,-1,1,0.987267,3.100000
716981.11883602,3305162.34963534,217,-1,1,0.987267,3.100000
716981.35278494,3305162.16025152,218,-1,1,0.987267,3.100000
716981.58673385,3305161.97086770,219,-1,1,0.987267,3.100000
716981.82068277,3305161.78148388,220,-1,1,0.987267,3.200000
716982.05463169,3305161.59210006,221,-1,1,0.987267,3.200000
716982.28858060,3305161.40271624,222,-1,1,0.987267,3.200000
716982.52252952,3305161.21333242,223,-1,1,0.987267,3.200000
716982.75647843,3305161.02394860,224,-1,1,0.987267,3.200000
716982.99042735,3305160.83456477,225,-1,1,0.987267,3.300000
716983.22437627,3305160.64518095,226,-1,1,0.987267,3.200000
716983.43448512,3305160.43618932,227,-1,1,0.967206,3.200000
716983.62075391,3305160.20758989,228,-1,1,0.967206,3.200000
716983.80702270,3305159.97899045,229,-1,1,0.967206,3.200000
716983.99329149,3305159.75039102,230,-1,1,0.967206,3.100000
716984.17956028,3305159.52179158,231,-1,1,0.967206,3.100000
716984.36582907,3305159.29319214,232,-1,1,0.967206,3.100000
716984.55209786,3305159.06459271,233,-1,1,0.967206,3.100000
716984.73836664,3305158.83599327,234,-1,1,0.967206,3.200000
716984.92463543,3305158.60739383,235,-1,1,0.967206,3.300000
716985.11090422,3305158.37879439,236,-1,1,0.967206,3.400000
716985.29717301,3305158.15019496,237,-1,1,0.967206,3.400000
716985.48344180,3305157.92159552,238,-1,1,0.967206,3.400000
716985.66971059,3305157.69299608,239,-1,1,0.967206,3.400000
716985.85597938,3305157.46439664,240,-1,1,0.967206,3.500000
716986.04224816,3305157.23579720,241,-1,1,0.967206,3.500000
716986.22851695,3305157.00719776,242,-1,1,0.967206,3.500000
716986.41478574,3305156.77859831,243,-1,1,0.967206,3.500000
716986.60105453,3305156.54999887,244,-1,1,0.967206,3.500000
716986.78732332,3305156.32139943,245,-1,1,0.967206,3.500000
716986.97359210,3305156.09279999,246,-1,1,0.967206,3.500000
716987.15986089,3305155.86420054,247,-1,1,0.967206,3.500000
716987.34612968,3305155.63560110,248,-1,1,0.967206,3.400000
716987.53239846,3305155.40700166,249,-1,1,0.967206,3.400000
716987.71866725,3305155.17840221,250,-1,1,0.967206,3.500000
716987.90493604,3305154.94980277,251,-1,1,0.967206,3.500000
716988.07143327,3305154.70580001,252,-1,1,0.977530,3.500000
716988.21815895,3305154.44639393,253,-1,1,0.977530,3.500000
716988.36488463,3305154.18698785,254,-1,1,0.977530,3.500000
716988.51161031,3305153.92758177,255,-1,1,0.977530,3.500000
716988.65833599,3305153.66817568,256,-1,1,0.977530,3.500000
716988.80506167,3305153.40876960,257,-1,1,0.977530,3.500000
716988.95178735,3305153.14936352,258,-1,1,0.977530,3.600000
716989.09851303,3305152.88995744,259,-1,1,0.977530,3.600000
716989.24523871,3305152.63055136,260,-1,1,0.977530,3.600000
716989.39196439,3305152.37114528,261,-1,1,0.977530,3.600000
716989.53869007,3305152.11173919,262,-1,1,0.977530,3.600000
716989.68541575,3305151.85233311,263,-1,1,0.977530,3.700000
716989.83214143,3305151.59292703,264,-1,1,0.977530,3.700000
716989.97886710,3305151.33352094,265,-1,1,0.977530,3.700000
716990.12559278,3305151.07411486,266,-1,1,0.977530,3.700000
716990.27231846,3305150.81470877,267,-1,1,0.977530,3.700000
716990.41904414,3305150.55530269,268,-1,1,0.977530,3.700000
716990.56576981,3305150.29589660,269,-1,1,0.977530,3.700000
716990.71249549,3305150.03649052,270,-1,1,0.977530,3.800000
716990.85922117,3305149.77708443,271,-1,1,0.977530,3.800000
716991.00594684,3305149.51767834,272,-1,1,0.977530,3.800000
716991.15267252,3305149.25827226,273,-1,1,0.977530,3.900000
716991.29939819,3305148.99886617,274,-1,1,0.977530,3.900000
716991.44612387,3305148.73946008,275,-1,1,0.977530,3.900000
716991.59284954,3305148.48005399,276,-1,1,0.977530,4.000000
716991.73957522,3305148.22064790,277,-1,1,0.977530,4.000000
716991.88630089,3305147.96124181,278,-1,1,0.977530,4.100000
716992.03303245,3305147.70181972,279,-1,1,0.977640,4.100000
716992.17453588,3305147.44462986,280,-1,1,0.948391,4.100000
716992.31083633,3305147.18962824,281,-1,1,0.948391,4.000000
716992.44713428,3305146.93462528,282,-1,1,0.948391,4.000000
716992.58343223,3305146.67962232,283,-1,1,0.948391,3.900000
716992.71973018,3305146.42461936,284,-1,1,0.948391,3.900000
716992.85602813,3305146.16961640,285,-1,1,0.948391,4.000000
716992.99232608,3305145.91461344,286,-1,1,0.948391,4.000000
716993.12862403,3305145.65961047,287,-1,1,0.948391,4.000000
716993.26492198,3305145.40460751,288,-1,1,0.948391,4.000000
716993.40121993,3305145.14960455,289,-1,1,0.948391,4.000000
716993.53751788,3305144.89460158,290,-1,1,0.948391,4.000000
716993.67381583,3305144.63959862,291,-1,1,0.948391,4.000000
716993.81011378,3305144.38459565,292,-1,1,0.948391,3.900000
716993.94641173,3305144.12959269,293,-1,1,0.948391,3.900000
716994.08270968,3305143.87458973,294,-1,1,0.948391,3.900000
716994.21900762,3305143.61958676,295,-1,1,0.948391,3.900000
716994.35530557,3305143.36458380,296,-1,1,0.948391,3.900000
716994.49160352,3305143.10958083,297,-1,1,0.948391,3.900000
716994.63445642,3305142.85757129,298,-1,1,0.952511,3.800000
716994.78386429,3305142.60855517,299,-1,1,0.952511,3.800000
716994.93327215,3305142.35953905,300,-1,1,0.952511,3.800000
716995.08268002,3305142.11052294,301,-1,1,0.952511,3.800000
716995.23208788,3305141.86150681,302,-1,1,0.952511,3.800000
716995.38149574,3305141.61249070,303,-1,1,0.952511,3.800000
716995.53090360,3305141.36347458,304,-1,1,0.952511,3.800000
716995.68031147,3305141.11445846,305,-1,1,0.952511,3.800000
716995.82971933,3305140.86544234,306,-1,1,0.952511,3.800000
716995.97912719,3305140.61642622,307,-1,1,0.952511,3.800000
716996.12853505,3305140.36741009,308,-1,1,0.952511,3.800000
716996.27794291,3305140.11839397,309,-1,1,0.952511,3.800000
716996.42735077,3305139.86937785,310,-1,1,0.952511,3.800000
716996.57675864,3305139.62036173,311,-1,1,0.952511,3.800000
716996.72616650,3305139.37134561,312,-1,1,0.952511,3.800000
716996.87557436,3305139.12232948,313,-1,1,0.952511,3.800000
716997.02498222,3305138.87331336,314,-1,1,0.952511,3.800000
716997.19141036,3305138.62885915,315,-1,1,0.990549,3.700000
716997.37485880,3305138.38896686,316,-1,1,0.990549,3.700000
716997.55830723,3305138.14907456,317,-1,1,0.990549,3.700000
716997.74175566,3305137.90918227,318,-1,1,0.990549,3.600000
716997.92520410,3305137.66928998,319,-1,1,0.990549,3.600000
716998.10865253,3305137.42939768,320,-1,1,0.990549,3.600000
716998.29210096,3305137.18950539,321,-1,1,0.990549,3.600000
716998.47554939,3305136.94961309,322,-1,1,0.990549,3.600000
716998.65899782,3305136.70972080,323,-1,1,0.990549,3.600000
716998.84244626,3305136.46982850,324,-1,1,0.990549,3.700000
716999.02589469,3305136.22993620,325,-1,1,0.990549,3.700000
716999.20934312,3305135.99004391,326,-1,1,0.990549,3.800000
716999.39279155,3305135.75015161,327,-1,1,0.990549,3.800000
716999.57623998,3305135.51025931,328,-1,1,0.990549,3.800000
716999.75968841,3305135.27036701,329,-1,1,0.990549,3.800000
716999.94401771,3305135.03135839,330,-1,1,0.989488,3.700000
717000.12922788,3305134.79323346,331,-1,1,0.989488,3.600000
717000.31443804,3305134.55510852,332,-1,1,0.989488,3.500000
717000.49964820,3305134.31698358,333,-1,1,0.989488,3.400000
717000.68485837,3305134.07885864,334,-1,1,0.989488,3.400000
717000.87006853,3305133.84073370,335,-1,1,0.989488,3.300000
717001.05527870,3305133.60260876,336,-1,1,0.989488,3.400000
717001.24048886,3305133.36448382,337,-1,1,0.989488,3.400000
717001.42569902,3305133.12635888,338,-1,1,0.989488,3.500000
717001.61090919,3305132.88823394,339,-1,1,0.989488,3.500000
717001.79611935,3305132.65010900,340,-1,1,0.989488,3.600000
717001.98132951,3305132.41198405,341,-1,1,0.989488,3.600000
717002.16653968,3305132.17385911,342,-1,1,0.989488,3.700000
717002.35174984,3305131.93573417,343,-1,1,0.989488,3.600000
717002.53696000,3305131.69760922,344,-1,1,0.989488,3.500000
717002.72217017,3305131.45948428,345,-1,1,0.989488,3.500000
717002.92060940,3305131.24214603,346,-1,1,0.947439,3.500000
717003.13227771,3305131.04559449,347,-1,1,0.947439,3.500000
717003.34394602,3305130.84904294,348,-1,1,0.947439,3.500000
717003.55561433,3305130.65249139,349,-1,1,0.947439,3.500000
717003.76728264,3305130.45593984,350,-1,1,0.947439,3.500000
717003.97895096,3305130.25938829,351,-1,1,0.947439,3.500000
717004.19061927,3305130.06283674,352,-1,1,0.947439,3.500000
717004.40228758,3305129.86628520,353,-1,1,0.947439,3.500000
717004.61395589,3305129.66973365,354,-1,1,0.947439,3.500000
717004.82562420,3305129.47318209,355,-1,1,0.947439,3.700000
717005.03729251,3305129.27663054,356,-1,1,0.947439,3.700000
717005.24896082,3305129.08007899,357,-1,1,0.947439,3.700000
717005.46062913,3305128.88352744,358,-1,1,0.947439,3.700000
717005.67229744,3305128.68697589,359,-1,1,0.947439,3.600000
717005.89560709,3305128.49566601,360,-1,1,0.983036,3.500000
717006.13055808,3305128.30959779,361,-1,1,0.983036,3.500000
717006.36550908,3305128.12352958,362,-1,1,0.983036,3.500000
717006.60046007,3305127.93746137,363,-1,1,0.983036,3.500000
717006.83541106,3305127.75139316,364,-1,1,0.983036,3.500000
717007.07036206,3305127.56532495,365,-1,1,0.983036,3.500000
717007.30531305,3305127.37925673,366,-1,1,0.983036,3.500000
717007.54026405,3305127.19318852,367,-1,1,0.983036,3.500000
717007.77521504,3305127.00712030,368,-1,1,0.983036,3.600000
717008.01016603,3305126.82105209,369,-1,1,0.983036,3.700000
717008.24511703,3305126.63498388,370,-1,1,0.983036,3.800000
717008.48006802,3305126.44891566,371,-1,1,0.983036,3.800000
717008.71501902,3305126.26284745,372,-1,1,0.983036,3.800000
717008.94997001,3305126.07677923,373,-1,1,0.983036,3.800000
717009.18492100,3305125.89071101,374,-1,1,0.983036,3.900000
717009.41987200,3305125.70464279,375,-1,1,0.983036,3.900000
717009.65482299,3305125.51857458,376,-1,1,0.983036,3.900000
717009.88977399,3305125.33250636,377,-1,1,0.983036,3.900000
717010.12472498,3305125.14643814,378,-1,1,0.983036,3.900000
717010.35967598,3305124.96036992,379,-1,1,0.983036,3.900000
717010.59462697,3305124.77430170,380,-1,1,0.983036,3.900000
717010.82957797,3305124.58823348,381,-1,1,0.983036,3.900000
717011.06452896,3305124.40216526,382,-1,1,0.983036,4.000000
717011.29947996,3305124.21609704,383,-1,1,0.983036,4.000000
717011.53442770,3305124.03003142,384,-1,1,0.983008,4.000000
717011.75862020,3305123.83460640,385,-1,1,0.970154,4.000000
717011.97204829,3305123.62983041,386,-1,1,0.970154,4.000000
717012.18547619,3305123.42505422,387,-1,1,0.970154,4.000000
717012.39890408,3305123.22027803,388,-1,1,0.970154,4.000000
717012.61233198,3305123.01550183,389,-1,1,0.970154,4.000000
717012.82575987,3305122.81072564,390,-1,1,0.970154,3.800000
717013.03918777,3305122.60594944,391,-1,1,0.970154,3.500000
717013.25261566,3305122.40117325,392,-1,1,0.970154,3.500000
717013.46604355,3305122.19639705,393,-1,1,0.970154,3.500000
717013.67947145,3305121.99162085,394,-1,1,0.970154,3.900000
717013.89289934,3305121.78684466,395,-1,1,0.970154,3.900000
717014.10632724,3305121.58206846,396,-1,1,0.970154,3.900000
717014.31975513,3305121.37729226,397,-1,1,0.970154,3.900000
717014.53318303,3305121.17251606,398,-1,1,0.970154,3.900000
717014.74661092,3305120.96773986,399,-1,1,0.970154,3.900000
717014.96003882,3305120.76296366,400,-1,1,0.970154,3.800000
717015.17346671,3305120.55818746,401,-1,1,0.970154,3.800000
717015.38689461,3305120.35341126,402,-1,1,0.970154,3.800000
717015.60032250,3305120.14863506,403,-1,1,0.970154,3.800000
717015.81375039,3305119.94385886,404,-1,1,0.970154,3.700000
717016.02717829,3305119.73908266,405,-1,1,0.970154,3.700000
717016.24060618,3305119.53430646,406,-1,1,0.970154,3.700000
717016.45403408,3305119.32953025,407,-1,1,0.970154,3.700000
717016.66746197,3305119.12475405,408,-1,1,0.970154,3.700000
