XCoord,YCoord,FID,LEFT_FID,RIGHT_FID,LENGTH,ELEVATION
737526.59918363,3281895.21511917,80,-1,1,0.999651,2.600000
737526.35147976,3281895.03750550,81,-1,1,0.999651,2.600000
737526.10377588,3281894.85989183,82,-1,1,0.999651,2.600000
737525.85607200,3281894.68227815,83,-1,1,0.999651,2.600000
737525.60836813,3281894.50466448,84,-1,1,0.999651,2.600000
737525.36066425,3281894.32705081,85,-1,1,0.999651,2.600000
737525.11296038,3281894.14943714,86,-1,1,0.999651,2.600000
737524.86525650,3281893.97182347,87,-1,1,0.999651,2.600000
737524.61755263,3281893.79420980,88,-1,1,0.999651,2.600000
737524.36984875,3281893.61659613,89,-1,1,0.999651,2.600000
737524.12214488,3281893.43898246,90,-1,1,0.999651,2.600000
737523.87444101,3281893.26136879,91,-1,1,0.999651,2.600000
737523.62673713,3281893.08375512,92,-1,1,0.999651,2.600000
737523.37903326,3281892.90614146,93,-1,1,0.999651,2.700000
737523.13132938,3281892.72852779,94,-1,1,0.999651,2.700000
737522.88362551,3281892.55091412,95,-1,1,0.999651,2.700000
737522.63592164,3281892.37330046,96,-1,1,0.999651,2.700000
737522.38821777,3281892.19568679,97,-1,1,0.999651,2.700000
737522.14051389,3281892.01807313,98,-1,1,0.999651,2.700000
737521.89281002,3281891.84045946,99,-1,1,0.999651,2.700000
737521.64510615,3281891.66284580,100,-1,1,0.999651,2.700000
737521.39740228,3281891.48523213,101,-1,1,0.999651,2.700000
737521.14969841,3281891.30761847,102,-1,1,0.999651,2.700000
737520.90199454,3281891.13000481,103,-1,1,0.999651,2.700000
737520.65429067,3281890.95239114,104,-1,1,0.999651,2.700000
737520.40658680,3281890.77477748,105,-1,1,0.999651,2.700000
737520.15888293,3281890.59716382,106,-1,1,0.999651,2.700000
737519.91117905,3281890.41955016,107,-1,1,0.999651,2.700000
737519.66347519,3281890.24193650,108,-1,1,0.999651,2.700000
737519.41577132,3281890.06432284,109,-1,1,0.999651,2.700000
737519.16806745,3281889.88670918,110,-1,1,0.999651,2.700000
737518.92036358,3281889.70909552,111,-1,1,0.999651,2.700000
737518.67265971,3281889.53148186,112,-1,1,0.999651,2.700000
737518.42495584,3281889.35386821,113,-1,1,0.999651,2.700000
737518.17725197,3281889.17625455,114,-1,1,0.999651,2.700000
737517.92954811,3281888.99864089,115,-1,1,0.999651,2.600000
737517.68184424,3281888.82102724,116,-1,1,0.999651,2.600000
737517.43414037,3281888.64341358,117,-1,1,0.999651,2.600000
737517.18643650,3281888.46579992,118,-1,1,0.999651,2.600000
737516.93873264,3281888.28818627,119,-1,1,0.999651,2.600000
737516.69102877,3281888.11057261,120,-1,1,0.999651,2.600000
737516.44332490,3281887.93295896,121,-1,1,0.999651,2.600000
737516.19562104,3281887.75534531,122,-1,1,0.999651,2.600000
737515.94791717,3281887.57773165,123,-1,1,0.999651,2.600000
737515.70021331,3281887.40011800,124,-1,1,0.999651,2.600000
737515.45250944,3281887.22250435,125,-1,1,0.999651,2.600000
737515.20480558,3281887.04489070,126,-1,1,0.999651,2.600000
737514.95710171,3281886.86727704,127,-1,1,0.999651,2.600000
737514.70939785,3281886.68966339,128,-1,1,0.999651,2.600000
737514.46169398,3281886.51204974,129,-1,1,0.999651,2.600000
737514.21399012,3281886.33443609,130,-1,1,0.999651,2.500000
737513.96628626,3281886.15682244,131,-1,1,0.999651,2.500000
737513.71858239,3281885.97920880,132,-1,1,0.999651,2.500000
737513.45688631,3281885.94659339,133,-1,1,0.976409,2.500000
737513.18119800,3281886.05897622,134,-1,1,0.976409,2.600000
737512.90550970,3281886.17135906,135,-1,1,0.976409,2.600000
737512.62982140,3281886.28374189,136,-1,1,0.976409,2.600000
737512.35413309,3281886.39612472,137,-1,1,0.976409,2.600000
737512.07844479,3281886.50850756,138,-1,1,0.976409,2.600000
737511.80275648,3281886.62089039,139,-1,1,0.976409,2.600000
737511.52706818,3281886.73327322,140,-1,1,0.976409,2.600000
737511.25137988,3281886.84565605,141,-1,1,0.976409,2.600000
737510.97569158,3281886.95803888,142,-1,1,0.976409,2.600000
737510.70000327,3281887.07042171,143,-1,1,0.976409,2.600000
737510.42431497,3281887.18280454,144,-1,1,0.976409,2.600000
737510.14862667,3281887.29518737,145,-1,1,0.976409,2.700000
737509.87293837,3281887.40757020,146,-1,1,0.976409,2.700000
737509.59725007,3281887.51995303,147,-1,1,0.976409,2.700000
737509.32156177,3281887.63233586,148,-1,1,0.976409,2.700000
737509.04587347,3281887.74471869,149,-1,1,0.976409,2.700000
737508.77018517,3281887.85710151,150,-1,1,0.976409,2.700000
737508.49449687,3281887.96948434,151,-1,1,0.976409,2.700000
737508.21880857,3281888.08186717,152,-1,1,0.976409,2.700000
737507.94312027,3281888.19424999,153,-1,1,0.976409,2.700000
